Topic_ID,Title,Count
0,maternidade | salário | auxílio | direito | inss,1267
1,anticoncepcional | pílula | seguinte | tomar | cartela,360
2,progesterona | via | oral | vaginal | uso,361
3,ela | grávida | está | pessoa | mencionada,308
4,nome | for | nomes | vocês | chamar,264
5,nascer | fevereiro | dia | vai | janeiro,195
6,dilatação | semanas | 38 | contrações | tampão,187
7,podem | cólicas | seios | sinais | dor,182
8,hcg | beta | mui | resultado | ml,160
9,menstruação | menstruar | menstrual | descer | desceu,151
10,mamadeira | seringa | alimentar | dar | sugar,186
11,isso | nesse | caso | luvas | você,147
12,ultrassom | natal | ultrassonografia | saco | pré,166
13,cesárea | cicatriz | seroma | após | líquido,155
14,nidação | sangramento | menstruação | esse | sido,149
15,gêmeos | trigêmeos | bebês | são | gemelar,150
16,vacina | bronquiolite | contra | abrysvo | beyfortus,135
17,amamentar | amamentação | peito | bico | seio,167
18,diu | mirena | colocação | implanon | colocar,134
19,cesárea | cesariana | indicações | parto | cesáreo,185
20,dentro | cordão | umbilical | útero | respira,160
21,doença | rosto | tem | bochechinha | quantos,148
22,grávida | você | está | verdade | estava,130
23,quantos | meses | semanas | idade | última,129
24,embrião | feto | vida | considerado | vivo,158
25,mei | auxílio | maternidade | direito | receber,122
26,anos | aos | engravidar | 35 | 44,136
27,parto | posição | durante | deitada | parir,148
28,olívia | nascer | vai | olivia | dia,130
29,dormir | mamar | noite | peito | sono,138
30,aborto | abortar | alguém | vida | pessoas,131
31,sexo | menino | saber | menina | descobrir,127
32,creche | criança | meses | palavras | ano,116
33,menina | menino | será | tabela | bebê,143
34,katlen | ketlin | kat | ket | grávida,110
35,estar | menstruação | menstruado | tendo | ausência,108
36,dor | analgesia | parto | mulheres | epidural,132
37,produção | materno | leite | aumentar | posso,107
38,alparone | giovanna | grávida | está | quem,89
39,bomba | tirar | leite | elétrica | bombinha,111
40,sentir | enjoos | enjoo | normal | início,103
41,chá | gestantes | tomar | consumir | café,98
42,tia | sara | mariana | grávida | bia,88
43,negativo | atraso | menstrual | teste | negativos,152
44,placenta | remoção | mão | remover | manual,102
45,sus | pelo | natal | pré | realizado,87
46,filho | outro | vocês | vão | ter,125
47,oxigênio | respirar | procedimento | luvas | rápido,96
48,falsa | barriga | mostrada | parece | mentira,89
49,vitamina | b12 | gotas | ui | d3,86
50,peso | kg | mensagem | pesar | levar,84
51,tudo | certo | parto | deu | bem,100
52,eclâmpsia | pressão | pré | arterial | alta,86
53,plano | saúde | carência | convênio | reembolso,87
54,família | bolsa | recebe | vacinar | benefício,100
55,pai | homem | quem | onde | filho,109
56,mala | levar | roupa | roupas | tamanho,83
57,emily | vick | emilly | grávida | está,69
58,cálcio | magnésio | suplementação | tomar | deve,73
59,teste | positivo | deu | resultado | falso,90
60,barriga | kg | dura | crescer | endurecer,65
61,laqueadura | tubária | feito | há | tendo,62
62,sangramento | marrom | borra | início | café,80
63,dilatação | cm | colo | trabalho | centímetros,91
64,filhos | condições | mundo | filho | criar,96
65,barriga | falsa | mostrada | mentira | tamanho,63
66,prematuro | nasceu | quantas | semanas | nasce,89
67,aborto | retido | espontâneo | curetagem | boldo,75
68,sentir | urinar | dor | muita | normal,79
69,davi | irmão | irmãozinho | davizinho | ganhar,74
70,suplemento | vitamina | suplementos | vitaminas | tomar,61
71,pós | após | hemorragia | parto | hemorroidas,71
72,cesárea | próxima | cesáreas | tentar | normal,84
73,histerectomia | retirada | cirurgia | útero | retirar,65
74,estrela | filhotes | dos | pai | ficou,76
75,nasceu | matar | bem | criança | aconteceu,99
76,fralda | trocar | xixi | fraldas | cocô,69
77,vídeo | mencionada | pessoa | mencionado | no,91
78,pós | taping | cinta | calcinha | usar,83
79,olívia | janeiro | fevereiro | nascer | dia,60
80,fórmula | leite | alergia | ml | nan,71
