pergunta_padrao_ouro,topic_id,topic_name,central_example_1,central_example_2,central_example_3
Como ter certeza que estou grávida?,35,Possibilidade de gravidez com atraso menstrual,É possível estar grávida mesmo tendo ficado um mês sem menstruar e depois ter vindo uma menstruação em pouca quantidade?,É possível estar grávida se a última menstruação foi em 10 de janeiro e não veio em fevereiro nem em março?,"Com a menstruação atrasada há um mês, posso estar grávida?"
Quando devo começar as visitas ao pré-natal?,12,Ultrassom no início da gestação,Já foi feito ultrassom nessa fase da gravidez?,Haverá outro ultrassom mais à frente na gravidez?,Com quantas semanas de gravidez já posso fazer um ultrassom?
Onde posso fazer o pré-natal?,53,Carência e cobertura obstétrica no parto,Existe um plano de saúde apenas para o parto?,O parto pode ser feito pelo plano de saúde da empresa?,O que fazer quando o plano de saúde disponibiliza apenas um hospital para realizar o parto?
Quantas consultas de pré-natal será bom para mim e para meu bebê?,12,Ultrassom no início da gestação,Já foi feito ultrassom nessa fase da gravidez?,Haverá outro ultrassom mais à frente na gravidez?,Com quantas semanas de gravidez já posso fazer um ultrassom?
O que devo fazer se eu me sentir mal antes da data da próxima consulta?,155,Significado do reflexo vermelho no bebê,O que significa o reflexo vermelho do olho estar preto no exame do bebê?,O que aconteceu com o olho da bebê?,E se o reflexo vermelho do olho do bebê aparecer preto?
Quanto tempo dura a gravidez?,131,Como engravidar e ter filhos,Como uma pessoa faz para engravidar?,Como se faz para engravidar e ter um filho?,Como se faz para engravidar e ter um bebê?
O que é parto prematuro?,27,Posições e dinâmica do parto,"No parto, a mulher fica de cócoras em cima da cama?",Por que os médicos não oferecem essa opção na hora do parto?,O que acontece quando a mãe não entra em trabalho de parto?
Como vou contar o tempo de gravidez: meses ou semanas?,40,Enjoo e desconforto no início da gravidez,"É normal parar de sentir dor com seis semanas de gravidez, estando com sete semanas?",É normal que os enjoos no início da gravidez impeçam de comer?,É normal sentir mais sofrimento nesta gravidez do que na primeira gravidez?
A gravidez pode durar mais do que 9 meses?,60,Barriga não cresce na gestação,A barriga não cresceu durante os primeiros meses da gravidez?,É normal a barriga de uma gestante não crescer?,É normal que a barriga de uma gestante não seja tão grande?
O que é data provável para o parto?,151,Quando ir à maternidade e induzir parto,"Se eu chegar às 40 semanas de gestação, devo ir ao hospital ou esperar o trabalho de parto em casa?","Ao completar 40 semanas, devo ir para a maternidade mesmo sem a bolsa romper ou sem contrações de parto?",38 semanas de gestação é cedo para entrar em trabalho de parto?
Ter infecção de urina aumenta a chance de parto prematuro?,151,Quando ir à maternidade e induzir parto,"Se eu chegar às 40 semanas de gestação, devo ir ao hospital ou esperar o trabalho de parto em casa?","Ao completar 40 semanas, devo ir para a maternidade mesmo sem a bolsa romper ou sem contrações de parto?",38 semanas de gestação é cedo para entrar em trabalho de parto?
Posso tomar os remédios que já tenho costume de usar quando sinto dor?,99,Impacto de medicamentos na gravidez,Tomei vários remédios prescritos por médicos antes de descobrir que estava grávida de 6 semanas; isso pode ter prejudicado meu bebê?,É perigoso ter tomado dipirona antes de saber que estava grávida?,"Tomar antibiótico na terceira semana de gravidez, antes de saber que estava grávida, pode causar má formação no bebê?"
