topic_id,topic_size,top_words,suggestion_1,suggestion_2,suggestion_3,central_example_1,central_example_2,central_example_3,central_example_4,central_example_5,boundary_example_1,boundary_example_2,boundary_example_3,boundary_example_4,boundary_example_5,relevance,selected_name_option,manual_name,notes,annotator_id,annotated_at
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",Auxílio maternidade do INSS,Salário maternidade do INSS,Direito ao auxílio maternidade INSS,Uma gestante de 6 meses que vai começar a contribuir agora tem direito ao auxílio-maternidade?,É necessário contribuir por mais um mês para ter direito ao auxílio-maternidade?,Com quantos meses de contribuição é possível ter direito ao auxílio-maternidade?,"No meu caso, preciso aguardar minha filha nascer para conseguir solicitar o salário-maternidade?","Se o bebê já nasceu, ainda é possível receber o salário-maternidade?","É possível emitir a guia pelo Chrome, usando a versão do site para computador?",É permitido trabalhar como afiliado da Shopee enquanto se recebe salário-maternidade?,"No meu caso, a guia para continuar contribuindo deve ser preenchida da mesma forma que no vídeo ou preciso बदलá-la?",Devo preencher a competência com o mês e o ano em que estou?,"Por que, ao tentar emitir a guia pelo aplicativo, ele vai para a parte de calcular contribuição e não permite gerar a guia?",,,,,,
1,360,"['anticoncepcional', 'pílula', 'seguinte', 'tomar', 'cartela', 'injeção', 'esquecer', 'relação', 'dia', 'risco']",Risco de gravidez com anticoncepcional,Chance de engravidar usando anticoncepcional,Possibilidade de gravidez no uso de anticoncepcional,Tive relação no 9º dia de uso do anticoncepcional; posso engravidar?,É possível que eu esteja grávida após iniciar o anticoncepcional há 4 dias e ter tido relações?,"Tomar a pílula anticoncepcional no mesmo dia, mas com atraso de horário, oferece risco de gravidez?","Depois de parar a injeção anticoncepcional trimestral e ficar três meses sem menstruar, isso pode ser gravidez?","Se eu não tomar outra pílula, há risco de engravidar mesmo estando há 7 dias tomando anticoncepcional?",Uma mulher de 39 anos com enxaqueca pode usar o anel vaginal?,"Depois de terminar essa cartela, devo pular a pausa de 4 dias e emendar a próxima cartela?","Sertralina, clonazepam e Pasalix podem interferir na eficácia do anticoncepcional Yaz?","O uso de sertralina, clonazepam e Pasalix pode interferir na eficácia do anticoncepcional Yaz?",O pantoprazol corta o efeito do anticoncepcional?,,,,,,
2,361,"['progesterona', 'via', 'oral', 'vaginal', 'uso', 'utrogestan', 'estradiol', 'mg', 'reposição', 'usar']",Uso de progesterona na reposição,Reposição com progesterona uso,Via e tempo de progesterona,A progesterona precisa ser usada por via oral?,A progesterona deve ser tomada de forma contínua?,É aconselhável tomar um comprimido de progesterona de 100 mg por noite?,Por quanto tempo a progesterona pode ser usada?,O médico indicou para você tomar progesterona depois do ciclo menstrual?,O parto vaginal seria uma espécie de cerimônia de iniciação para a maternidade?,A tibolona é segura para uma mulher de 51 anos que está com o sono péssimo?,A via oral do Ultragestan pode causar náuseas?,O AD-Til deve ser administrado em 4 gotas por semana?,"Pode haver hipoplasia mamária mesmo com a reposição de GH, se a causa estiver relacionada a outro hormônio?",,,,,,
3,308,"['ela', 'grávida', 'está', 'pessoa', 'mencionada', 'engravidou', 'comentário', 'realmente', 'mamãe', 'verdade']",A pessoa mencionada está grávida,Ela realmente está grávida,A mamãe está grávida de verdade,Será que ela está mesmo grávida?,Ela estava realmente grávida?,E se ela estiver realmente grávida?,Ela está grávida de verdade?,Como assim ela está grávida?,O iodo a que o doutor se refere pode ser no sal marinho?,Como um teste de gravidez em papel consegue dizer se uma pessoa está grávida ou não?,Como nasce uma pedra grávida?,Isso é um espermatozoide?,Maria engravidou de Jesus na adolescência também?,,,,,,
4,264,"['nome', 'for', 'nomes', 'vocês', 'chamar', 'qual', 'menina', 'escolher', 'menino', 'miguel']",Escolha de nomes para bebês,Nomes sugeridos para bebê,Sugestão de nomes maternos,Qual nome seria escolhido se o bebê for menina?,Qual nome seria escolhido se o bebê for menino?,Qual nome você sugere se o bebê for menino?,Qual nome colocar se o bebê for menino?,Qual foi o nome escolhido para a bebê?,Qual é o nome dado à condição em que uma criança nasce sem os membros?,Qual é o nome desse adoçante e onde posso comprá-lo?,Um bebê pode engasgar ao ser alimentado com seringa?,Qual apelido é mais מתאים para Valentina: Valen ou Vava?,Meu segundo bebê também pode estar com APLV?,,,,,,
5,195,"['nascer', 'fevereiro', 'dia', 'vai', 'janeiro', 'aniversário', 'nascimento', 'no', '28', 'bebê']",Previsão de data de nascimento do bebê,Previsão do parto e data de nascimento,Data provável do nascimento do bebê,A bebê vai nascer no dia 31 de janeiro?,A bebê vai nascer no dia 29 ou 30 de janeiro?,"O bebê vai nascer no dia do aniversário da pessoa, em fevereiro?",A bebê vai nascer em 28 ou 29 de janeiro?,Em que dia meu bebê vai nascer?,Uma criança pode nascer com microcefalia?,Por que você grava apenas a mulher gritando de dor em vez de gravar o nascimento da bebê?,O bebê vai ser a Ayla?,"Um bebê pode nascer com deformidades, como sem braços, pernas ou nariz?",O que significa um Apgar de 9 a 10 no nascimento do bebê?,,,,,,
6,187,"['dilatação', 'semanas', '38', 'contrações', 'tampão', 'mucoso', 'sinais', 'trabalho', 'dores', '39']",dilatação e sinais de trabalho de parto,início do trabalho de parto e dilatação,sinais maternos de dilatação e parto,Uma gestante com 35 semanas que já sente todos os sintomas de dilatação deve se preocupar?,"É normal ficar assim por uma semana, com 38 semanas e 3 dias de gravidez, 1 cm de dilatação, contrações constantes e fisgadas no canal vaginal?","Uma gestante com 39 semanas e 6 dias, com saída de tampão mucoso e barriga ficando muito endurecida, já está tendo dilatação?","Uma gestante de 29 semanas com dores nas costas, dor na parte de baixo, sensação de pressão e barriga dura o tempo todo pode estar dilatando antes da hora?","Com 38 semanas e 3 dias de gravidez, sentir muitas contrações de treinamento e a barriga parecer que vai cair e apertar indica dilatação ou início do trabalho de parto?",Você está sentindo dores em qual região especificamente?,"Uma gestante de 36 semanas, autônoma, MEI e com contrato temporário que vai terminar no próximo mês pode requerer auxílio-maternidade além do salário-maternidade?",A dor e o inchaço na parte de baixo da barriga há 5 dias podem ser endometriose?,O que devo fazer para aliviar a dor lombar pós-parto que está irradiando para as pernas?,"É normal, com 7 meses de gravidez, ainda não ter saído colostro?",,,,,,
7,182,"['podem', 'cólicas', 'seios', 'sinais', 'dor', 'indicar', 'enjoo', 'doloridos', 'sinal', 'atraso']",Sinais de gravidez no atraso menstrual,Possíveis sintomas de gravidez,Indícios de gravidez e atraso menstrual,"Um atraso de 4 dias, com cólica, dor nas mamas, dor lombar, fome e um pouco de sono pode ser sinal de gravidez?","Seis dias de atraso menstrual, seios doloridos e cólicas que vão e voltam podem indicar gravidez?","Os enjôos, as cólicas leves, a dor de cabeça, a dor nas costas e o atraso menstrual podem indicar gravidez?",Dor nos seios e cólicas com 12 dias de atraso menstrual podem ser sinais de gravidez?,"Sintomas como cólica, dor nos seios, dor de cabeça, enjoo e dor nas costas antes do atraso menstrual podem indicar gravidez?",Essa dor nas pernas pode ser sinal de trombose?,Você teve dor de cabeça?,Seios doloridos constantemente e dor de cabeça podem estar relacionados com essa saída de leite?,Tontura e queda de pressão 60 dias após o parto podem ser sinal de algo grave?,"O que pode ser a dor pélvica e no baixo ventre, com inchaço e irradiação para a lombar?",,,,,,
8,160,"['hcg', 'beta', 'mui', 'resultado', 'ml', 'quantitativo', 'positivo', 'indica', 'exame', '25']",Interpretação do beta hCG quantitativo na gestação,Leitura do beta hCG quantitativo,Significado do beta hCG na gravidez,"Um resultado de beta-hCG de 0,26 indica gravidez?","Um resultado de beta-hCG inferior a 2,39 indica gravidez ou não?",Um resultado de beta-hCG de 29 indica gravidez?,"Um resultado de beta hCG de 207,6 indica que estou grávida?",Qual é o valor de referência do beta hCG nessa fase da gravidez?,"Segundo o protocolo, o SBG deve sempre ser tratado pelo risco de RPM, sem necessidade de atingir 100.000 UFC/ml?",É demais uma bebê de 6 dias tomar 60 ml por mamada?,Daqui a quantos dias devo fazer o beta quantitativo?,O que devo fazer diante desses sintomas com 37 semanas de gravidez?,A ausência de cólicas nesse caso é um sinal bom ou ruim?,,,,,,
9,151,"['menstruação', 'menstruar', 'menstrual', 'descer', 'desceu', 'dias', 'ficar', 'normal', 'atraso', 'mês']",Sangramento menstrual irregular e atraso,Atraso menstrual e irregularidade,Irregularidade do ciclo menstrual,"É normal a menstruação durar apenas um dia, como aconteceu no mês passado e neste mês?",A menstruação já veio ou continua atrasada há quase dois meses?,"O que pode ser quando a menstruação vem antes do previsto e dura só um dia, como aconteceu comigo?",É normal ficar três meses sem menstruar?,O que pode causar menstruação atrasada por 1 mês?,"O sangue venoso é o mesmo que sai durante o período menstrual, por ser contínuo e pela tonalidade?","O sangramento menstrual se encaixa em qual tipo de sangramento: arterial, venoso ou capilar?",O chá de uxi amarelo e unha de gato pode fazer a menstruação descer após mais de 3 meses de atraso menstrual?,"Depois de uma cesárea, é normal a menstruação voltar apenas uma vez com seis meses e meio e depois ficar quase três meses sem descer?","É normal a menstruação não ter descido 10 meses após uma cesárea, enquanto o bebê mama bastante?",,,,,,
