comment_id,pergunta_original,topic_id,topic_name
UgytZ5s5TPYCzcY3hVl4AaABAg,"É aconselhado tomar AAS no início, após a ovulação, em um ciclo com letrozol?",3,Uso de progesterona na reposição
UgytZ5s5TPYCzcY3hVl4AaABAg,"Com dois abortos seguidos, exames básicos de trombofilia normais e mais de 35 anos, seria prudente usar AAS?",18,Idade materna e chance de engravidar
UgyhtNWj6KKMELao46d4AaABAg.AJKTEgke-XeALPn3MO2eOm,Um bebê com 31 semanas em posição transversal ainda pode virar?,97,Percentis fetais e crescimento na gestação
Ugzb9grFX2-b4uj-9wN4AaABAg,"Se o contrato de trabalho se encerrar em dezembro, após a licença-maternidade que vai até novembro, ainda haverá direito ao salário-maternidade?",1,Auxílio maternidade do INSS
UgzXJsa2FWJpQmlkt1V4AaABAg,Como melhorar a conjuntivite do bebê?,58,Conjuntivite em bebês
Ugwa5xLy3tc2Aqunled4AaABAg,O diagnóstico relacionado à dificuldade para tirar leite pode estar errado?,27,Uso e funcionamento de bomba de leite
Ugwa5xLy3tc2Aqunled4AaABAg,Existe um tratamento mais adequado para esse problema de amamentação ou de retirada de leite?,47,Histerectomia e recuperação pós operatória
Ugwur-HzFEHmZvuOivp4AaABAg,"É normal que, no início da gravidez, tudo o que a gestante come volte?",90,Dor e sensibilidade nos seios na gravidez
UgxOtBGybrJRAq52LAV4AaABAg,É normal sentir muita dor de cabeça ao usar Utrogestan?,3,Uso de progesterona na reposição
Ugx5Jli0vfaWPTCMwI54AaABAg.AQR87QMdtAmAVabV6vpsJA,Qual código foi usado para pagar a guia do auxílio-maternidade?,1,Auxílio maternidade do INSS
UgxVEq_bWJNrNCpqZ6h4AaABAg,"A bombinha de tirar leite está funcionando, mas não desliga; como resolver isso?",27,Uso e funcionamento de bomba de leite
UgzNjc-xPHVCdLSvYc94AaABAg.AFmr30fM5WDATmK_bTy0CQ,Como saber se o organismo converte o ácido fólico no corpo durante a gravidez?,63,Suplementação de ácido fólico e ferro na gestação
UgyOXXfS9ErjrWt8aNJ4AaABAg.AKKC1vcDlTKAUBmd-ofwmu,Como são as rotinas de sono para bebês de 0 a 3 meses?,20,Sono do bebê e amamentação
UgwzcKgNVp4fz1wpfmN4AaABAg,O que é essa bola no cordão umbilical?,15,Atividades do feto no útero e cordão umbilical
Ugygbm0LrmJsFayhTOZ4AaABAg,Bebês que se desenvolvem em dois sacos gestacionais vão nascer idênticos?,11,Gestação de gêmeos e trigêmeos
Ugzywc0vjCVWEiXrWFN4AaABAg.AI4be1cnXS_AIkUV8llmkK,Dormir de barriga para baixo na gestação faz mal para o bebê?,76,Posição para dormir na gestação
UgxaGbbrjiiKvSYom4N4AaABAg,Não seria melhor procurar outro médico para ouvir mais uma opinião sobre o bebê?,21,Aborto como direito e vida
Ugwo7m0WTokrb8nxT2F4AaABAg,"Com 31 semanas de gravidez, perder um muco com sangue e começar a sentir dor lombar em queimação pode ser sinal de dilatação?",4,dilatação e sinais de trabalho de parto
UgzBXe4Ud_b4eCLIuWh4AaABAg.AKY0y7XdJYwAKfykG_z91U,A gestante está fazendo o pré-natal direitinho?,8,Ultrassom no início da gestação
UgwoX3BkjecFu14msAp4AaABAg.AM3-T4Ny10XAMA_kRaWjA1,Homens realmente podem produzir leite pelas mamas?,84,Como engravidar e ter filhos
UgzkXfdISHDARW8Bcfd4AaABAg,Quem está na menopausa e toma progesterona pode voltar a menstruar?,3,Uso de progesterona na reposição
UgyJL_4efFNDycxVFCV4AaABAg.AMzSg6iAIEtANE3w3uAIY9,A pessoa conseguiu receber o salário-maternidade?,1,Auxílio maternidade do INSS
