topic_id,topic_size,top_words,example_order,selected_question
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",1,Uma gestante de 6 meses que vai começar a contribuir agora tem direito ao auxílio-maternidade?
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",2,É necessário contribuir por mais um mês para ter direito ao auxílio-maternidade?
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",3,Com quantos meses de contribuição é possível ter direito ao auxílio-maternidade?
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",4,"No meu caso, preciso aguardar minha filha nascer para conseguir solicitar o salário-maternidade?"
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",5,"Se o bebê já nasceu, ainda é possível receber o salário-maternidade?"
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",6,Quem trabalha com carteira assinada consegue solicitar salário-maternidade?
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",7,Quem trabalhou de carteira assinada durante a gravidez tem direito ao salário-maternidade?
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",8,É preciso ter contribuído durante a gravidez para ter direito ao auxílio-maternidade?
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",9,"É necessário ter 10 contribuições para receber o salário-maternidade, mesmo tendo contribuído por 7 meses?"
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",10,É necessário contribuir antes do parto para ter direito ao salário-maternidade?
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",11,"Se eu contribuir apenas um mês antes do nascimento, consigo ter direito ao salário-maternidade?"
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",12,É preciso contribuir por quanto tempo para ter direito ao auxílio-maternidade?
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",13,"Uma gestante que não trabalha mais, mas já contribuiu, tem direito ao salário-maternidade?"
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",14,O INSS está negando o salário-maternidade nesses casos em que a contribuição é paga após o parto?
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",15,"Se o pagamento for feito após o nascimento do bebê, ainda há direito ao salário-maternidade?"
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",16,Quem já trabalhou com carteira assinada pode receber o salário-maternidade no mesmo valor?
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",17,A gestante tem direito ao salário-maternidade do INSS por 4 meses após o parto?
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",18,É possível fazer a contribuição após o parto para ter direito ao salário-maternidade?
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",19,"Depois de ganhar o bebê e fazer a contribuição, ainda consigo solicitar o auxílio-maternidade?"
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",20,É possível receber salário-maternidade se o bebê já nasceu e a última contribuição foi feita há 7 anos?
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",21,Quem nunca fez nenhuma contribuição e já teve o bebê ainda consegue fazer o pagamento e solicitar o auxílio-maternidade?
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",22,É possível receber salário-maternidade mesmo estando trabalhando?
