Topic,Count,Name,Representation,Representative_Docs
-1,428,-1_que_bebê_por_algo,"['que', 'bebê', 'por', 'algo', 'você', 'parto', 'caminho', 'crianças', 'não', 'um']","['O que pode significar um sangramento de um dia, seguido de corrimento marrom por alguns dias, após atraso menstrual, com teste positivo fraco e beta hCG negativo?', 'Com 7 dias de atraso menstrual e dois testes de gravidez negativos, é possível que eu tenha feito os testes cedo demais ou no momento errado?', 'É possível estar grávida após ter relação sexual sem proteção três dias antes da ovulação, com dois dias de atraso menstrual e cólicas leves?']"
0,1267,0_maternidade_salário_auxílio_direito,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']","['Posso solicitar o auxílio-maternidade depois que meu bebê nascer, tendo trabalhado de carteira assinada de outubro de 2024 a fevereiro de 2025?', 'Quem saiu do último emprego em setembro de 2024 e está grávida de 8 meses precisa voltar a contribuir para dar entrada no auxílio-maternidade quando a bebê nascer?', 'É preciso pagar mais uma contribuição ao INSS em 2025 para receber o auxílio-maternidade, estando grávida de 5 meses, desempregada e com duas contribuições registradas em 2022 e 2024?']"
1,360,1_anticoncepcional_pílula_seguinte_tomar,"['anticoncepcional', 'pílula', 'seguinte', 'tomar', 'cartela', 'injeção', 'esquecer', 'relação', 'dia', 'risco']","['Há risco de gravidez após esquecer dois comprimidos do anticoncepcional, ter relação com preservativo furado e tomar a pílula do dia seguinte cerca de 9 horas depois?', 'Há risco de gravidez após esquecer um comprimido do Tâmisa 30, ter relação desprotegida no dia seguinte e tomar a pílula do dia seguinte 14 horas depois?', 'Existe risco de gravidez depois de esquecer de tomar a pílula anticoncepcional, tomar duas no dia seguinte, fazer a pausa e ter relação desprotegida seis dias depois?']"
2,361,2_progesterona_via_oral_vaginal,"['progesterona', 'via', 'oral', 'vaginal', 'uso', 'utrogestan', 'estradiol', 'mg', 'reposição', 'usar']","['O uso diário de Utrogestan 100 mg pode causar inchaço?', 'É normal sentir-se dopada ao tomar progesterona via oral de 100 mg?', 'Na reposição de progesterona, é melhor usar a via oral ou vaginal?']"
3,308,3_ela_grávida_está_pessoa,"['ela', 'grávida', 'está', 'pessoa', 'mencionada', 'engravidou', 'comentário', 'realmente', 'mamãe', 'verdade']","['A pessoa mencionada no comentário está grávida ou não?', 'A pessoa mencionada está realmente grávida ou isso é brincadeira?', 'A pessoa mencionada no comentário está grávida de verdade ou é só uma brincadeira?']"
4,264,4_nome_for_nomes_vocês,"['nome', 'for', 'nomes', 'vocês', 'chamar', 'qual', 'menina', 'escolher', 'menino', 'miguel']","['Qual seria o nome do bebê se fosse menino?', 'Qual será o nome do bebê se for menino?', 'O nome do bebê menino seria Isaque ou Joaquim?']"
5,195,5_nascer_fevereiro_dia_vai,"['nascer', 'fevereiro', 'dia', 'vai', 'janeiro', 'aniversário', 'nascimento', 'no', '28', 'bebê']","['A bebê vai nascer no dia 30 de janeiro, que é o meu aniversário?', 'O bebê vai nascer no dia 28, 29 ou 1º de fevereiro?', 'Será que a bebê vai nascer no dia 28 de janeiro, que é o dia do aniversário do comentarista?']"
6,187,6_dilatação_semanas_38_contrações,"['dilatação', 'semanas', '38', 'contrações', 'tampão', 'mucoso', 'sinais', 'trabalho', 'dores', '39']","['É normal sentir muitas contrações de treinamento e perder o tampão mucoso com 38 semanas e 4 dias de gestação?', 'Com 38 semanas e 3 dias de gravidez, sentir muitas contrações de treinamento e a barriga parecer que vai cair e apertar indica dilatação ou início do trabalho de parto?', 'Com 38 semanas e 2 dias de gravidez, sentir pressão na região íntima, contrações e saída de muita gosma transparente ou amarelada pode indicar dilatação ou início do trabalho de parto?']"
7,182,7_podem_cólicas_seios_sinais,"['podem', 'cólicas', 'seios', 'sinais', 'dor', 'indicar', 'enjoo', 'doloridos', 'sinal', 'atraso']","['Mesmo tendo menstruado neste mês, cólicas leves e seios doloridos podem ser sinais de gravidez?', 'Atraso menstrual de cinco dias, junto com enjoos leves, gases, cólicas, dor lombar, seios doloridos com saída de líquido, estômago cheio, mudança de humor e tontura podem indicar gravidez?', 'Cólicas do lado esquerdo, dor de cabeça, seios doloridos e inchados e dor nas costas podem ser sinais de gravidez antes do atraso menstrual?']"
8,160,8_hcg_beta_mui_resultado,"['hcg', 'beta', 'mui', 'resultado', 'ml', 'quantitativo', 'positivo', 'indica', 'exame', '25']","['Um resultado de beta-hCG de 25 mUI/mL indica gravidez?', 'Um resultado de beta-hCG de 8,78 mUI/mL é positivo?', 'Um resultado de beta-hCG de 2.792 mUI/mL é positivo ou negativo?']"
