topic_id,disagreement_type,topic_size,top_words,suggestion_1,suggestion_2,suggestion_3,central_example_1,central_example_2,central_example_3,central_example_4,central_example_5,boundary_example_1,boundary_example_2,boundary_example_3,boundary_example_4,boundary_example_5,victoria_relevance,victoria_name_option,victoria_selected_name,victoria_notes,gabriel_relevance,gabriel_name_option,gabriel_selected_name,gabriel_notes,relevance,selected_name_option,manual_name,notes,annotator_id,annotated_at
6,name,187,"['dilatação', 'semanas', '38', 'contrações', 'tampão', 'mucoso', 'sinais', 'trabalho', 'dores', '39']",dilatação e sinais de trabalho de parto,início do trabalho de parto e dilatação,sinais maternos de dilatação e parto,Uma gestante com 35 semanas que já sente todos os sintomas de dilatação deve se preocupar?,"É normal ficar assim por uma semana, com 38 semanas e 3 dias de gravidez, 1 cm de dilatação, contrações constantes e fisgadas no canal vaginal?","Uma gestante com 39 semanas e 6 dias, com saída de tampão mucoso e barriga ficando muito endurecida, já está tendo dilatação?","Uma gestante de 29 semanas com dores nas costas, dor na parte de baixo, sensação de pressão e barriga dura o tempo todo pode estar dilatando antes da hora?","Com 38 semanas e 3 dias de gravidez, sentir muitas contrações de treinamento e a barriga parecer que vai cair e apertar indica dilatação ou início do trabalho de parto?",Você está sentindo dores em qual região especificamente?,"Uma gestante de 36 semanas, autônoma, MEI e com contrato temporário que vai terminar no próximo mês pode requerer auxílio-maternidade além do salário-maternidade?",A dor e o inchaço na parte de baixo da barriga há 5 dias podem ser endometriose?,O que devo fazer para aliviar a dor lombar pós-parto que está irradiando para as pernas?,"É normal, com 7 meses de gravidez, ainda não ter saído colostro?",relevante,2,início do trabalho de parto e dilatação,,relevante,1,dilatação e sinais de trabalho de parto,,,,,,,
7,name,182,"['podem', 'cólicas', 'seios', 'sinais', 'dor', 'indicar', 'enjoo', 'doloridos', 'sinal', 'atraso']",Sinais de gravidez no atraso menstrual,Possíveis sintomas de gravidez,Indícios de gravidez e atraso menstrual,"Um atraso de 4 dias, com cólica, dor nas mamas, dor lombar, fome e um pouco de sono pode ser sinal de gravidez?","Seis dias de atraso menstrual, seios doloridos e cólicas que vão e voltam podem indicar gravidez?","Os enjôos, as cólicas leves, a dor de cabeça, a dor nas costas e o atraso menstrual podem indicar gravidez?",Dor nos seios e cólicas com 12 dias de atraso menstrual podem ser sinais de gravidez?,"Sintomas como cólica, dor nos seios, dor de cabeça, enjoo e dor nas costas antes do atraso menstrual podem indicar gravidez?",Essa dor nas pernas pode ser sinal de trombose?,Você teve dor de cabeça?,Seios doloridos constantemente e dor de cabeça podem estar relacionados com essa saída de leite?,Tontura e queda de pressão 60 dias após o parto podem ser sinal de algo grave?,"O que pode ser a dor pélvica e no baixo ventre, com inchaço e irradiação para a lombar?",relevante,3,Indícios de gravidez e atraso menstrual,,relevante,2,Possíveis sintomas de gravidez,,,,,,,
8,name,160,"['hcg', 'beta', 'mui', 'resultado', 'ml', 'quantitativo', 'positivo', 'indica', 'exame', '25']",Interpretação do beta hCG quantitativo na gestação,Leitura do beta hCG quantitativo,Significado do beta hCG na gravidez,"Um resultado de beta-hCG de 0,26 indica gravidez?","Um resultado de beta-hCG inferior a 2,39 indica gravidez ou não?",Um resultado de beta-hCG de 29 indica gravidez?,"Um resultado de beta hCG de 207,6 indica que estou grávida?",Qual é o valor de referência do beta hCG nessa fase da gravidez?,"Segundo o protocolo, o SBG deve sempre ser tratado pelo risco de RPM, sem necessidade de atingir 100.000 UFC/ml?",É demais uma bebê de 6 dias tomar 60 ml por mamada?,Daqui a quantos dias devo fazer o beta quantitativo?,O que devo fazer diante desses sintomas com 37 semanas de gravidez?,A ausência de cólicas nesse caso é um sinal bom ou ruim?,relevante,1,Interpretação do beta hCG quantitativo na gestação,,relevante,2,Leitura do beta hCG quantitativo,,,,,,,
16,name,135,"['vacina', 'bronquiolite', 'contra', 'abrysvo', 'beyfortus', 'tomar', 'aplicada', 'vacinas', 'reação', 'covid']",Vacina contra bronquiolite na gestação e no bebê,Vacina RSV na gravidez e vacinação infantil,Abrysvo Beyfortus intervalos e indicações,"Se a mãe tomar a vacina durante a gestação, o bebê também deve tomar a vacina contra bronquiolite quando nascer?","Se a gestante tomar a vacina contra bronquiolite, qual deve ser o intervalo até o bebê ser vacinado?",É melhor tomar a vacina contra bronquiolite durante a gestação ou após o nascimento do bebê?,"Após o nascimento, a vacina já pode ser aplicada no bebê?","Depois que a bebê melhorar da bronquiolite, ela pode receber essa vacina?",Qual é o tempo de proteção da Beyfortus contra o vírus VSR?,Uma criança com síndrome de Down e deficiência de G6PD pode tomar dipirona?,Existem clínicas particulares de vacinação no Canadá?,"No Ontário, Canadá, a vacina contra bronquiolite só está sendo oferecida para bebês que nascem na temporada de bronquiolite?",A bebê ficou com a mãe após o nascimento ou foi levada para outro local?,relevante,2,Vacina RSV na gravidez e vacinação infantil,,relevante,1,Vacina contra bronquiolite na gestação e no bebê,,,,,,,
17,name,167,"['amamentar', 'amamentação', 'peito', 'bico', 'seio', 'pega', 'silicone', 'correta', 'almofada', 'posição']",Amamentação com pega e posição,Pega do bebê e posição na amamentação,Dor no peito na amamentação,O uso de mamadeira pode prejudicar a amamentação?,O que fazer para o bebê pegar o peito durante a amamentação?,Como assim não pode amamentar dessa forma se essa é a técnica mais utilizada?,A amamentação costuma ser muito dolorosa?,Estou amamentando do jeito errado há três meses?,É possível amamentar o bebê com o carro em მოძრაობimento?,Essa seringa tem o bico duro?,"Na pega correta, o movimento deve ser de baixo para cima, e não o contrário?",Existem lasers para cicatrizar a aréola que cicatrizem na hora e realmente funcionem?,O que ele tem no peito?,relevante,1,Amamentação com pega e posição,,relevante,2,Pega do bebê e posição na amamentação,,,,,,,
25,name,122,"['mei', 'auxílio', 'maternidade', 'direito', 'receber', 'pagar', 'salário', 'parcelas', 'quem', 'atrasadas']",Direitos do MEI ao salário maternidade,Quem é MEI tem direito ao salário-maternidade,Auxílio salário maternidade para MEI,Quem tem MEI tem direito ao auxílio-maternidade?,Pagar apenas o MEI garante direito ao auxílio-maternidade?,Quem é MEI também tem direito ao auxílio-maternidade?,Uma gestante com 32 semanas que abrir um MEI e contribuir duas vezes já terá direito ao auxílio-maternidade?,"Com 10 contribuições pagas ao MEI, mesmo sem completar 10 meses corridos, a gestante tem direito ao salário-maternidade?",Ainda há tempo para meu filho de 10 meses ficar superinteligente se eu comecei a dar iodo agora?,Há alguma tentante em 2025?,Alguém engravidou depois de a Olívia completar dois meses?,Por que tantas mulheres morreram durante o parto normal neste ano?,Existe alguma forma de fazer o quadril abrir durante o parto para evitar uma cesárea de última hora?,relevante,1,Direitos do MEI ao salário maternidade,,relevante,3,Auxílio salário maternidade para MEI,,,,,,,
26,name,136,"['anos', 'aos', 'engravidar', '35', '44', 'mulher', '40', 'ainda', 'possível', 'endometriose']",Gravidez após os 35 anos,Possibilidade de engravidar após 35,Idade materna e chance de engravidar,Uma mulher de 36 anos ainda pode engravidar?,Aos 34 anos ainda é possível engravidar e levar a gestação adiante?,Uma mulher de 33 anos ainda pode engravidar?,"Com 42 anos, ainda consigo engravidar?","Com 50 anos, ainda é possível engravidar?",O que devo fazer diante do medo de tomar essa vitamina B12 injetável durante a gravidez?,"Com dois abortos seguidos, exames básicos de trombofilia normais e mais de 35 anos, seria prudente usar AAS?","Se mães com mais de 35 anos tiverem mais estresse e ansiedade na vida adulta, os filhos terão maior probabilidade de desenvolver ansiedade e estresse?",É humanamente impossível engravidar de gêmeos após endometriose grave?,Uma mulher de 43 anos com esclerose múltipla deve considerar engravidar?,relevante,2,Possibilidade de engravidar após 35,,relevante,3,Idade materna e chance de engravidar,,,,,,,
43,name,152,"['negativo', 'atraso', 'menstrual', 'teste', 'negativos', 'testes', 'estar', 'atrasada', 'farmácia', 'mesmo']",Gravidez com teste negativo e atraso menstrual,Possibilidade de gravidez com atraso menstrual,Teste negativo na gravidez com atraso menstrual,É possível estar grávida mesmo com 18 dias de atraso menstrual e teste de gravidez negativo?,"É possível estar grávida com a menstruação atrasada há um mês, mesmo com teste de gravidez negativo?",É possível estar grávida mesmo com 13 dias de atraso menstrual e teste de gravidez negativo?,É possível estar grávida mesmo com a menstruação atrasada há 1 mês e 14 dias e com teste de gravidez negativo?,É possível estar grávida mesmo com o teste de gravidez negativo e a menstruação atrasada?,Houve atraso menstrual antes do sangramento?,"É normal ter seios doloridos, escurecidos e com veias dilatadas depois do ciclo menstrual, mesmo após cinco testes de gravidez negativos?",Esse teste pode ser feito perto da menstruação ou faltando 10 dias para ela descer?,Com quantos dias de gravidez ou de atraso menstrual esse teste foi feito?,"Com 10 dias de atraso menstrual, cansaço, sono e urina frequente, isso pode ser gravidez ou menopausa, mesmo tendo miomas?",relevante,3,Teste negativo na gravidez com atraso menstrual,,relevante,1,Gravidez com teste negativo e atraso menstrual,,,,,,,
53,name,87,"['plano', 'saúde', 'carência', 'convênio', 'reembolso', 'cobre', 'cobertura', 'parto', 'contratar', 'custos']",Cobertura do plano no parto,Carência e cobertura obstétrica no parto,Reembolso e cobertura do parto,Existe um plano de saúde apenas para o parto?,O parto pode ser feito pelo plano de saúde da empresa?,O que fazer quando o plano de saúde disponibiliza apenas um hospital para realizar o parto?,Como devo proceder para manter o plano de saúde até o parto?,Há indicação de algum plano de saúde sem carência para parto?,O convênio cobre esse procedimento?,"É importante fazer exames de tireoide, como TSH e T4 livre, e exames de trombofilia para verificar se há algum problema que precise ser corrigido nesta gestação?",Devo continuar levando meu bebê ao pediatra particular ou fazer o acompanhamento apenas no Posto de Saúde da Família do meu bairro?,Quando irão humanizar o trabalho de parto e a saúde feminina?,Ela atende pelo plano de saúde?,relevante,2,Carência e cobertura obstétrica no parto,,relevante,1,Cobertura do plano no parto,,,,,,,
63,name,91,"['dilatação', 'cm', 'colo', 'trabalho', 'centímetros', 'útero', 'parto', '10', 'dilatar', 'chega']",dilatação do colo no trabalho de parto,evolução da dilatação no parto,quanto dilata o colo uterino,10 centímetros de dilatação no parto é pouco?,"Por que, ao chegar à maternidade com 10 cm de dilatação, o parto não foi normal?",A dilatação no parto vai até 10 centímetros?,Como é a dilatação no parto?,Geralmente as gestantes chegam ao trabalho de parto com apenas 3 cm de dilatação?,O sinal de Bandl associado à bradicardia fetal em uma mulher em trabalho de parto está associado a qual quadro?,"Por que a minha dilatação não evoluiu além de 3 cm, mesmo eu fazendo tudo o que vejo na internet?",Quantos centímetros de dilatação a mãe do MegaMente teve no parto?,Como é possível dilatar até 8 cm sem sentir dor?,Em quantos dias a dilatação pode acontecer?,relevante,2,evolução da dilatação no parto,,relevante,1,dilatação do colo no trabalho de parto,,,,,,,
