comment_id,comentario,titulo,comentario_pai,perguntas,source_topic_id,source_topic_name,fine_topic_id,fine_topic_name
UgytZ5s5TPYCzcY3hVl4AaABAg,"Dr por um acaso é aconselhado tomar aas no início após a ovulação para quem está em um ciclo de letrozole? sendo que já teve dois abortos seguidos e todos os exames de trombofilia básicos normais mas com dois abortos seguidos, mais de 35 anos não seria prudente?",A aspirina no tratamento da pré-eclâmpsia | Dr. Arlley Cleverson,,"É aconselhado tomar AAS no início, após a ovulação, em um ciclo com letrozol?",2,2_100 mg_vaginal_200_hormônios,2,2_progesterona_via_oral_vaginal
UgytZ5s5TPYCzcY3hVl4AaABAg,"Dr por um acaso é aconselhado tomar aas no início após a ovulação para quem está em um ciclo de letrozole? sendo que já teve dois abortos seguidos e todos os exames de trombofilia básicos normais mas com dois abortos seguidos, mais de 35 anos não seria prudente?",A aspirina no tratamento da pré-eclâmpsia | Dr. Arlley Cleverson,,"Com dois abortos seguidos, exames básicos de trombofilia normais e mais de 35 anos, seria prudente usar AAS?",-1,-1_ovulação_fazer teste_amamentando_posição,26,26_anos_aos_engravidar_35
UgxZYzb7_FM7eAPS9Hl4AaABAg,Essa ponta de arame nao fura o pau nao?,"""Como o DIU é colocado”",,A ponta de arame do DIU pode furar o pênis?,18,18_lugar_pode machucar_engravidar usando_usar camisinha,18,18_diu_mirena_colocação_implanon
UgyhtNWj6KKMELao46d4AaABAg.AJKTEgke-XeALPn3MO2eOm,Eai o bb virou?? Tô com 31 e tá na transversal😢,Bebê pélvico ou transverso: até quando dá para virar? #gravida #gestacao #gestante #gravidez,33 semanas bebê na transversal 😅,Um bebê com 31 semanas em posição transversal ainda pode virar?,-1,-1_ovulação_fazer teste_amamentando_posição,148,148_percentil_semanas_34_gestação
Ugzb9grFX2-b4uj-9wN4AaABAg,"Estou de licença maternidade até novembro, meu contrato de trabalho se encerrará em dezembro, eu terei direito a receber o salario maternidade?",Requisitos para solicitar o Salário Maternidade em 2025!🤰⚖️ #direito #filhos  #salariomaternidade,,"Se o contrato de trabalho se encerrar em dezembro, após a licença-maternidade que vai até novembro, ainda haverá direito ao salário-maternidade?",0,0_solicitar_auxílio_benefício_contribuiu,0,0_maternidade_salário_auxílio_direito
UgzXJsa2FWJpQmlkt1V4AaABAg,Meu Deus bichinho como melhorar se Deus quiser,ESSA BEBÊ PEGOU CONJUTIVITE 🥺 creditos: jennifercosta #maternidade #bebes #maedeprimeiraviagem,,Como melhorar a conjuntivite do bebê?,95,95_olhos_açúcar_fria_imediatamente,95,95_conjuntivite_usado_olhos_olho
UgxX1ZZkRby1xiZ5-aB4AaABAg,"Q!!!!!, então aquele vídeo era verdade,a GI TA GRÁVIDA 😮 CARALHOOOOOOOOOOOOOO",giovanna alparone está grávida?? #luccasneto #trollface #shorts #alightmotion #humor #viralvideo,,A Gi está grávida?,117,117_grávida pai_grávida 15_16 anos_engravidou,117,117_gi_grávida_mostrar_zoro
Ugwa5xLy3tc2Aqunled4AaABAg,Bom dia Samuel Deus te abençoe e te livre deste mal será que o diaguinostico não está errado não? Não quero ser chata nem intrometida mas procure a dra Ângela Xavier talvez ela ache o certo e um tratamento mais adequado tente 😊❤,É o fim … Não consigo mais tirar leite 🥲,,O diagnóstico relacionado à dificuldade para tirar leite pode estar errado?,-1,-1_ovulação_fazer teste_amamentando_posição,39,39_bomba_tirar_leite_elétrica
Ugwa5xLy3tc2Aqunled4AaABAg,Bom dia Samuel Deus te abençoe e te livre deste mal será que o diaguinostico não está errado não? Não quero ser chata nem intrometida mas procure a dra Ângela Xavier talvez ela ache o certo e um tratamento mais adequado tente 😊❤,É o fim … Não consigo mais tirar leite 🥲,,Existe um tratamento mais adequado para esse problema de amamentação ou de retirada de leite?,-1,-1_ovulação_fazer teste_amamentando_posição,73,73_histerectomia_retirada_cirurgia_útero
Ugwur-HzFEHmZvuOivp4AaABAg,A minha neta está no início da gravidez tudo que come volta nossa sra do bo parto cuida da Amanda abençoe cuide e proteja para ela ficar bem.rogai por todos nós.,Terço para Abençoar o Parto e a Saúde do Bebê.,,"É normal que, no início da gravidez, tudo o que a gestante come volte?",-1,-1_ovulação_fazer teste_amamentando_posição,139,139_seios_nos_dor_sentiu
Ugy_Wl0vFl3C9_Dun3t4AaABAg,Gente pode ser Matheus tbm,ESCOLHENDO O NOME DO BABY SE FOR MENINO 🩵 #paternidade #maternidade,,O bebê também pode se chamar Matheus?,4,4_nome bebê_lucas_maria_bebê melhor,4,4_nome_for_nomes_vocês
