topic_id,topic_size,top_words,example_count,examples_sha256,suggestion_1,suggestion_2,suggestion_3,model,response_id,error,selected_name,decision
0,1267,"['maternidade', 'salário', 'auxílio', 'direito', 'inss', 'contribuição', 'solicitar', 'receber', 'ao', 'pagar']",50,795cc27451a5e5d876110a84821e4a51bf3fdbc27dca0abe4a8a58358179229f,Auxílio maternidade do INSS,Salário maternidade do INSS,Direito ao auxílio maternidade INSS,gpt-5.4-nano,resp_0d35c203ecdc1240006aa5e88132b087d2b9ffbb2a74bad8a6,,,
1,360,"['anticoncepcional', 'pílula', 'seguinte', 'tomar', 'cartela', 'injeção', 'esquecer', 'relação', 'dia', 'risco']",50,db7aec3be44a3156f573d6932e95f0af11e77144ce7fcd58a340957a4c0eadfa,Risco de gravidez com anticoncepcional,Chance de engravidar usando anticoncepcional,Possibilidade de gravidez no uso de anticoncepcional,gpt-5.4-nano,resp_0e57d31518e89953006aa5e882aa2087d2b2cb24acf9f1f43a,,,
2,361,"['progesterona', 'via', 'oral', 'vaginal', 'uso', 'utrogestan', 'estradiol', 'mg', 'reposição', 'usar']",50,6f9d6e276d22470110c3c3d4944132e8a46451c74375890f2182d7fed8a268f6,Uso de progesterona na reposição,Reposição com progesterona uso,Via e tempo de progesterona,gpt-5.4-nano,resp_050e57d8bb47eb97006aa5e8847d9887d2b4f9e551e32e6190,,,
3,308,"['ela', 'grávida', 'está', 'pessoa', 'mencionada', 'engravidou', 'comentário', 'realmente', 'mamãe', 'verdade']",50,dde0a416ba0d9613e3737e75c8b749f95baf91714d464826ee3b7c52c9017aec,A pessoa mencionada está grávida,Ela realmente está grávida,A mamãe está grávida de verdade,gpt-5.4-nano,resp_02c616f4e1fad8eb006aa5e8857c4087d2ba6a41df0c393d5f,,,
4,264,"['nome', 'for', 'nomes', 'vocês', 'chamar', 'qual', 'menina', 'escolher', 'menino', 'miguel']",50,b34d3d757522e6ee02fea3734a2c3485fcec3c4d3cf5df65b85eff4333027d48,Escolha de nomes para bebês,Nomes sugeridos para bebê,Sugestão de nomes maternos,gpt-5.4-nano,resp_0483496004a51d38006aa5e886f9fc87d29ace2501d86c81fb,,,
5,195,"['nascer', 'fevereiro', 'dia', 'vai', 'janeiro', 'aniversário', 'nascimento', 'no', '28', 'bebê']",50,df90e2e53e1593d5c475f934b18f0f6653e0f5623e064aa047f69e838f28fe0b,Previsão de data de nascimento do bebê,Previsão do parto e data de nascimento,Data provável do nascimento do bebê,gpt-5.4-nano,resp_0a0e864123716719006aa5e887e98c87d28a3d0670c8c208f0,,,
6,187,"['dilatação', 'semanas', '38', 'contrações', 'tampão', 'mucoso', 'sinais', 'trabalho', 'dores', '39']",50,7e5370fa0cf6b177a144d727ca4a6000b6295e324759374fe693d558ed544517,dilatação e sinais de trabalho de parto,início do trabalho de parto e dilatação,sinais maternos de dilatação e parto,gpt-5.4-nano,resp_08ab671503009ce9006aa5e888e5ac87d2a5e4233634f9d6d9,,,
7,182,"['podem', 'cólicas', 'seios', 'sinais', 'dor', 'indicar', 'enjoo', 'doloridos', 'sinal', 'atraso']",50,53140197a8213bf7bacb22f1d00362ee1d5586762a3cbdf37018da13cd7e75de,Sinais de gravidez no atraso menstrual,Possíveis sintomas de gravidez,Indícios de gravidez e atraso menstrual,gpt-5.4-nano,resp_08dbafbf0bbb49e6006aa5e88a07f087d2b16b175ff82acbe3,,,
8,160,"['hcg', 'beta', 'mui', 'resultado', 'ml', 'quantitativo', 'positivo', 'indica', 'exame', '25']",50,32ecca089168da4d34ee995d165b9bb60461f81ff6eeed7917be78c759eb3be0,Interpretação do beta hCG quantitativo na gestação,Leitura do beta hCG quantitativo,Significado do beta hCG na gravidez,gpt-5.4-nano,resp_01836c695b585428006aa5e88b1cbc87d2a774ffe076cb68d8,,,
9,151,"['menstruação', 'menstruar', 'menstrual', 'descer', 'desceu', 'dias', 'ficar', 'normal', 'atraso', 'mês']",50,3275467b824677465f75f9895ecfa58b764ac772c403dc122900cfba864a18d6,Sangramento menstrual irregular e atraso,Atraso menstrual e irregularidade,Irregularidade do ciclo menstrual,gpt-5.4-nano,resp_07da98bddd7e9d90006aa5e88cbc5887d2a4688fcc1aae461f,,,
