pergunta,hdbscan_topic_id,topic_id,assignment_method,score,topic_name
Como ter certeza que estou grávida?,-1,35,Topic embedding mais próximo,0.9635077714920044,35_estar_menstruação_menstruado_tendo
Quando devo começar as visitas ao pré-natal?,-1,23,Topic embedding mais próximo,0.9316308498382568,23_quantos_meses_semanas_idade
Onde posso fazer o pré-natal?,12,12,HDBSCAN transform,0.30224679996324616,12_ultrassom_natal_ultrassonografia_saco
Quantas consultas de pré-natal será bom para mim e para meu bebê?,12,12,HDBSCAN transform,0.41808519734163707,12_ultrassom_natal_ultrassonografia_saco
O que devo fazer se eu me sentir mal antes da data da próxima consulta?,-1,92,Topic embedding mais próximo,0.944779634475708,92_hospital_médico_tomou_consulta
Quanto tempo dura a gravidez?,23,23,HDBSCAN transform,0.529625790664489,23_quantos_meses_semanas_idade
O que é parto prematuro?,-1,66,Topic embedding mais próximo,0.9546754360198975,66_prematuro_nasceu_quantas_semanas
Como vou contar o tempo de gravidez: meses ou semanas?,23,23,HDBSCAN transform,1.0,23_quantos_meses_semanas_idade
A gravidez pode durar mais do que 9 meses?,23,23,HDBSCAN transform,1.0,23_quantos_meses_semanas_idade
O que é data provável para o parto?,-1,23,Topic embedding mais próximo,0.9691599011421204,23_quantos_meses_semanas_idade
Ter infecção de urina aumenta a chance de parto prematuro?,-1,151,Topic embedding mais próximo,0.9263734817504883,151_semanas_39_entrar_40
Posso tomar os remédios que já tenho costume de usar quando sinto dor?,92,92,HDBSCAN transform,0.9477276560962623,92_hospital_médico_tomou_consulta
O que posso fazer para evitar o parto prematuro?,-1,110,Topic embedding mais próximo,0.952783465385437,110_contexto_gestação_segunda_evoluiu
Estou sentindo contrações antes do nono mês. É normal?,-1,60,Topic embedding mais próximo,0.9576691389083862,60_barriga_kg_dura_crescer
A partir de quando posso saber o sexo do bebê durante a gravidez?,31,31,HDBSCAN transform,0.4882997879481228,31_sexo_menino_saber_menina
Tem como saber o peso do bebê dentro do útero?,-1,148,Topic embedding mais próximo,0.952276349067688,148_percentil_semanas_34_gestação
A partir de quando o embrião aparece dentro do meu útero?,-1,12,Topic embedding mais próximo,0.9496683478355408,12_ultrassom_natal_ultrassonografia_saco
A partir de quando o feto se forma?,-1,24,Topic embedding mais próximo,0.9536359310150146,24_embrião_feto_vida_considerado
A partir de quando o bebê começa a mexer dentro do útero?,94,94,HDBSCAN transform,0.6835799579575272,94_mexer_sentir_movimentos_17
Quando posso ouvir o batimento do coração do bebê dentro do útero?,98,98,HDBSCAN transform,1.0,98_coração_ouvir_batimentos_doppler
Quando o coração do bebê começa a bater,-1,88,Topic embedding mais próximo,0.9469202160835266,88_barriga_distensão_falar_grande
A partir de quando o bebê dentro do útero pode ouvir a minha voz?,20,20,HDBSCAN transform,0.41710258340219136,20_dentro_cordão_umbilical_útero
Posso pintar o cabelo durante a gravidez?,96,96,HDBSCAN transform,0.5380631572780783,96_estrias_óleo_melasma_cicatricure
Quantos quilos é esperado ganhar na gestação?,60,60,HDBSCAN transform,0.41031440970277644,60_barriga_kg_dura_crescer
Ter um pouco de dor na barriga é normal?,-1,65,Topic embedding mais próximo,0.9268901944160461,65_barriga_falsa_mostrada_mentira
Ter cólica na barriga pode ser um problema?,-1,116,Topic embedding mais próximo,0.9412753582000732,116_sintomas_esses_indicar_podem
"Posso tomar os remédios que já usava antes, durante a gestação?",-1,99,Topic embedding mais próximo,0.97202467918396,99_descobrir_remédios_prejudicar_tomar
"É normal sair um líquido amarelado pelo seio, durante a gravidez?",-1,139,Topic embedding mais próximo,0.9580618739128113,139_seios_nos_dor_sentiu
"Como preparar o seio para a amamentação, durante a gravidez?",-1,17,Topic embedding mais próximo,0.9532201290130615,17_amamentar_amamentação_peito_bico
É normal inchar as pernas durante a gravidez?,-1,60,Topic embedding mais próximo,0.9602063894271851,60_barriga_kg_dura_crescer
Minhas pernas estão inchadas. Preciso ingerir menos sal na alimentação?,-1,92,Topic embedding mais próximo,0.8763524889945984,92_hospital_médico_tomou_consulta
"Quanto de sal posso usar nos alimentos, durante a gravidez?",-1,134,Topic embedding mais próximo,0.9598444700241089,134_alimentação_fome_alimentos_durante
"Quanto mais azia, mais cabelo o bebê vai ter?",153,153,HDBSCAN transform,1.0,153_cabelo_crescer_materno_crescimento
Posso ir ao dentista durante a gestação?,-1,134,Topic embedding mais próximo,0.9056110978126526,134_alimentação_fome_alimentos_durante
Preciso depilar a virilha para ir às consultas de pré-natal?,-1,96,Topic embedding mais próximo,0.9295401573181152,96_estrias_óleo_melasma_cicatricure
Preciso depilar a virilha para o parto?,-1,115,Topic embedding mais próximo,0.9388327598571777,115_experiência_natural_parto_você
